=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0 fft False
=> learning rate 0.01, lr thetas 0.0, 50 epochs, decay frequency 15
Epoch: [2][800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.91 (4.92)	Acc@1 16.0 (16.1)	Acc@5 27.3 (31.6)	
Epoch: [2][1000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.08 (4.92)	Acc@1 12.1 (16.1)	Acc@5 28.5 (31.6)	
Epoch: [2][1200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.77 (4.92)	Acc@1 14.1 (16.1)	Acc@5 32.0 (31.5)	
Epoch: [2][1400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.82 (4.92)	Acc@1 21.5 (16.1)	Acc@5 34.0 (31.7)	
Epoch: [2][1600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.88 (4.91)	Acc@1 12.9 (16.2)	Acc@5 29.3 (31.7)	
Epoch: [2][1800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.08 (4.91)	Acc@1 15.2 (16.2)	Acc@5 30.9 (31.7)	
Epoch: [2][2000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.01 (4.91)	Acc@1 15.6 (16.2)	Acc@5 31.6 (31.7)	
Epoch: [2][2200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.79 (4.91)	Acc@1 14.8 (16.2)	Acc@5 34.8 (31.7)	
Epoch: [2][2400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.05 (4.91)	Acc@1 14.1 (16.2)	Acc@5 30.1 (31.7)	
Epoch: [2][2600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.92 (4.91)	Acc@1 16.4 (16.2)	Acc@5 35.9 (31.8)	
Epoch: [2][2800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.87 (4.91)	Acc@1 17.6 (16.2)	Acc@5 31.2 (31.8)	
Epoch: [2][3000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.85 (4.91)	Acc@1 20.7 (16.2)	Acc@5 34.0 (31.8)	
Epoch: [2][3200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.75 (4.91)	Acc@1 17.6 (16.3)	Acc@5 34.8 (31.8)	
Epoch: [2][3400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.84 (4.91)	Acc@1 17.6 (16.3)	Acc@5 34.4 (31.8)	
Epoch: [2][3600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.91 (4.91)	Acc@1 18.0 (16.3)	Acc@5 38.7 (31.8)	
